time,symbol,signal,entry,stop_loss,take_profit,confidence,alignment,status
2026-07-14 15:50:56,BTCUSD,BUY,63907.39844,63407.39844,65407.39844,67,BUY,OPEN
2026-07-15 08:40:18,XAUUSD,SELL,4028.19995,4038.19995,3998.19995,65,SELL,OPEN
2026-07-15 09:20:29,EURUSD,SELL,1.14469,1.14969,1.12969,57,SELL,OPEN
2026-07-15 09:45:13,EURUSD,SELL,1.14416,1.14916,1.12916,47,SELL,OPEN
2026-07-15 11:15:57,BTCUSD,BUY,64541.92969,64041.92969,66041.92969,47,BUY,OPEN
2026-07-15 11:16:03,EURUSD,SELL,1.1426,1.1476,1.1276,47,SELL,OPEN
2026-07-15 11:43:26,BTCUSD,BUY,64650.28906,64150.28906,66150.28906,65,BUY,OPEN
2026-07-15 11:43:32,EURUSD,SELL,1.14286,1.14786,1.12786,47,SELL,OPEN
2026-07-15 11:44:06,BTCUSD,BUY,64668.44141,64168.44141,66168.44141,65,BUY,OPEN
2026-07-15 11:44:11,EURUSD,SELL,1.14286,1.14786,1.12786,47,SELL,OPEN
2026-07-15 12:22:32,XAUUSD,SELL,4036.3999,4046.3999,4006.3999,47,SELL,OPEN
2026-07-15 12:22:32,USDJPY,BUY,162.28799,161.78799,163.78799,47,BUY,OPEN
2026-07-15 12:22:57,USDJPY,BUY,162.29201,161.79201,163.79201,47,BUY,OPEN
2026-07-15 12:22:58,XAUUSD,SELL,4036.19995,4046.19995,4006.19995,47,SELL,OPEN
2026-07-15 12:23:17,USDJPY,BUY,162.28999,161.78999,163.78999,47,BUY,OPEN
2026-07-15 12:23:17,XAUUSD,SELL,4036.6001,4046.6001,4006.6001,47,SELL,OPEN
2026-07-16 10:28:31,EURUSD,SELL,1.14732,1.15232,1.13232,47,SELL,OPEN
2026-07-16 10:28:31,USDJPY,BUY,162.06599,161.56599,163.56599,62,BUY,OPEN
2026-07-16 10:28:36,USDCAD,BUY,1.40443,1.39943,1.41943,67,BUY,OPEN
2026-07-20 09:13:46,BTCUSD,BUY,64130.24,63652.74,65562.72,77,BUY,OPEN
2026-07-21 14:44:30,USDJPY,SELL,162.73,162.85,162.37,58,BUY,OPEN
2026-07-21 14:44:30,XAUUSD,BUY,4063.3,4040.74,4130.98,48,WAIT,OPEN
2026-07-21 14:44:30,BTCUSD,BUY,66292.37,65867.19,67567.89,84,BUY,OPEN
2026-07-21 16:16:43,BTCUSD,BUY,66580.16,66134.88,67915.98,64,BUY,OPEN
2026-07-21 16:16:43,USDJPY,SELL,162.76,162.88,162.4,48,BUY,OPEN
2026-07-21 16:16:43,XAUUSD,BUY,4063.6,4041.04,4131.28,38,WAIT,OPEN
2026-07-22 08:32:37,USDJPY,SELL,163.18,163.31,162.77,78,BUY,OPEN
2026-07-22 08:33:43,USDJPY,SELL,163.18,163.32,162.78,78,BUY,OPEN
2026-07-22 08:46:43,USDJPY,SELL,163.14,163.28,162.74,78,BUY,OPEN
2026-07-22 09:28:38,USDJPY,SELL,163.11,163.26,162.68,58,BUY,OPEN
2026-07-22 09:36:20,USDJPY,SELL,163.1,163.25,162.67,58,BUY,OPEN
2026-07-22 09:52:55,USDJPY,SELL,163.13,163.28,162.69,58,BUY,OPEN
2026-07-22 10:37:33,USDJPY,SELL,162.94,163.13,162.37,68,SELL,OPEN
2026-07-22 10:47:27,USDJPY,SELL,162.95,163.14,162.38,68,SELL,OPEN
2026-07-22 10:53:07,USDJPY,SELL,162.92,163.11,162.35,58,WAIT,OPEN
2026-07-22 11:23:26,USDJPY,SELL,163.09,163.28,162.52,48,WAIT,OPEN
2026-07-22 11:23:26,XAUUSD,SELL,4119.1,4140.05,4056.26,58,SELL,OPEN
2026-07-22 12:06:36,XAUUSD,SELL,4123.6,4143.99,4062.43,58,SELL,OPEN
2026-07-22 12:06:36,USDJPY,SELL,162.963,163.151,162.4,68,WAIT,OPEN
2026-07-22 12:06:37,BTCUSD,SELL,65930.0,66281.22,64876.34,78,BUY,OPEN
2026-07-22 12:06:40,AUDUSD,SELL,0.70008,0.70095,0.69748,48,WAIT,OPEN
2026-07-22 12:06:40,USDCAD,SELL,1.40924,1.41057,1.40524,78,SELL,OPEN
2026-07-22 12:32:09,BTCUSD,SELL,65955.37,66313.65,64880.51,68,BUY,OPEN
2026-07-22 12:32:09,USDJPY,SELL,162.998,163.188,162.429,66,BUY,OPEN
2026-07-22 12:32:13,USDCAD,SELL,1.40944,1.41081,1.40535,66,SELL,OPEN
2026-07-22 12:32:13,AUDUSD,SELL,0.70003,0.7009,0.69743,46,BUY,OPEN
2026-07-23 12:48:33,BTCUSD,SELL,65673.9,66279.42,64462.85,64,WAIT,OPEN
2026-07-23 12:48:36,USDCAD,SELL,1.40799,1.40976,1.40446,66,SELL,OPEN
